Empresas do ramo alimentício de São José do Rio Preto;;;;;;;;;;;;;;;;;;;;;
Nome ;Franquias;Segmento ;Contato;Instagram/Facebook;Número de Seguidores;Ifood;Link Ifood;Outra Plataforma de Delivery;Link da Plataforma ;Avaliação Google;Avaliação Ifood;Quantidade de Avaliações (Google);Quantidade de Avaliações (Ifood);CNPJ;Endereço;Bairro;Região Adm;CEP;Porte;CNAE;
DOM PORTUGA RESTAURANTE;;Comida Brasileira;(17) 9705-3377;domportuga_redentora;13000;*;*;*;*;4,7;;362;0;30.512.894/0001-60;RUA CORONEL SPINOLA DE CASTRO, 4160;CENTRO;Central;15015-500;MICRO EMPRESA;01/02/5611;
LAS QUECAS - PANQUECAS GOUMERT;;Pizzarias/Massas;(17) 98189-2955;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/las-quecas---panquecas-gourmet---rio-preto-vila-imperial;MenuDino;https://lasquecas.menudino.com/?rwg_token=AFP2EnOpuDUYLUEOyBH0ruhsPkqtNONjWlvF6P0x_nOgTa7XFk_3S7ln4XqrUzCVbyAwHSLt0E4VpcwzvlGytl2uh6SW8mHQq2TA7F-kxJdGqi-9DMtHzU4%3D;4,5;4,7;224;129;44.375.292/0001-12;RUA JACI, 3248 SALA 06;VILA REDENTORA;HB;15015-810;MICRO EMPRESA;01/02/5611;
HARUKI COMIDA JAPONESA;;Comida Étnica (Japão);(17) 3363-5660;harukiculinaria;24100;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/harushi-oriental-food---loja-com-r-1000-de-desconto-em-qualquer-prato-centro;Goomer;https://harushi-oriental-food.goomer.app/;4,6;;1253;0;22.477.685/0001-02;RUA VOLUNTARIOS DE SAO PAULO, 3878;CENTRO;Central;15015-200;MICRO EMPRESA;01/02/5611;
HARUY SUSHI BAR;;Comida Étnica (Japão);(17) 3364-7824;haruyriopreto;28100;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/haruy-sushi-bar-vila-redentora;*;*;4,6;4,9;820-;9;36.569.426/0001-08;RUA ONDINA, 394;VILA REDENTORA;HB;15015-205;MICRO EMPRESA;01/02/5611;
BLUE JASMIM RESTAURANTE;;Outros;(17) 98826-1723;bluejasmimgastronomia;15800;*;*;*;*;4,8;;337;0;15.694.357/0001-94;RUA QUINZE DE NOVEMBRO, 4050 TERREOESP GOURMET;VILA REDENTORA;HB;15015-110;MICRO EMPRESA;01/02/5611;
ONDINA COMIDARIA;;Comida Brasileira;(17)3212-7931;ondina_comidaria;2628;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/ondina-comidaria-vl-redentora;*;*;4,6;5;294;9;18.764.231/0001-37;RUA ONDINA, 8;VILA REDENTORA;HB;15015-205;MICRO EMPRESA;01/02/5611;
KUROKAWA;;Comida Étnica (Japão);(17) 3301-4755;restaurante.kurokawa;14900;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/kurokawa-vila-redentora;*;*;4,4;4,7;994;159;49.318.301/0001-57;R JACI, 3120;VILA REDENTORA;HB;15015-810;MICRO EMPRESA;01/02/5611;
LA PORCHETTA REDENTORA;;Comida Brasileira;(17) 3322-5458;La Porchetta;40100;*;*;*;*;;;0;0;46.680.296/0001-30;RUA RAUL SILVA - DR, 481;VILA REDENTORA;HB;15015-020;MICRO EMPRESA;01/02/5611;
RIQUINHOS CHICKEN;;Outros;(17) 3221-9249 (17) 99706-7120;riquinhoschickenseyon;197;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/riquinhos-chicken---seyon-jardim-seyon;*;*;4,8;4,7;137;75;35.058.902/0001-63;AVENIDA DOUTOR ANTONIO MARQUES DOS SANTOS, 725 SALA 1;JARDIM SEYON;Bosque;15050-500;MICRO EMPRESA;01/02/5611;
L'OSTERIA;;Pizzarias/Massas;(17) 3353-4333 / (17) 3211-9900;losteria.rp;33300;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/losteria-centro;*;*;4,7;;1807;0;17.104.487/0001-55;RUA XV DE NOVEMBRO, 4.353;VILA REDENTORA;HB;15015-110;MICRO EMPRESA;01/02/5611;
MALUHIA POKE;;Comida Étnica (Havaí);(17) 99244-5043;maluhiapoke;8456;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/maluhia-poke-bowls-vila-redentora;*;*;4,8;4,9;172;65;29.495.833/0001-52;R GENEROSA BASTOS, 3103 LOJA B;VILA REDENTORA;HB;15015-790;MICRO EMPRESA;01/02/5611;
VIA SABORES RESTAURANTE;;Comida Brasileira;(17) 3234-4110;Via Sabores Restaurante;426;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/via-sabores-centro;*;*;4,6;5;145;3;46.026.770/0001-04;RUA BERNARDINO DE CAMPOS, 4023;VILA REDENTORA;HB;15015-300;MICRO EMPRESA;01/02/5611;
RESTAURANTE TEMPERO 10;;Comida Brasileira;(17) 3214-3798;Restaurante Tempero 10;142;*;*;*;*;4,7;;123;0;11.601.632/0001-27;R CORONEL SPINOLA CASTRO, 4632;VILA IMPERIAL;Central;15015-500;MICRO EMPRESA;01/02/5611;
A TASCA DO POIS POIS - GASTRONOMIA PORTUGUESA;;Comida Étnica (Portugual);(17) 98112-1464;atascadopoispois;6331;*;*;*;*;4,7;;387;0;11.975.433/0001-89;RUA ANTONIO DE GODOY, 4141;VILA REDENTORA;HB;15015-100;EMPRESA DE PEQUENO PORTE;01/02/5611;
BELLA CAPRI - PIZZARIA REDENTORA;;Pizzarias/Massas;(17)3214-9999;bellacapririopreto;14400;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/bella-capri-pizzaria---belvedere-conjunto-habitacional-sao-deocleciano;Plataforma Própria;https://play.google.com/store/apps/details?id=br.com.sitegourmet.ecommerce.bellacapri;4,7;4,3;3082;40;09.062.469/0001-20;RUA DOUTOR RAUL SILVA, 308;VILA REDENTORA;HB;15015-020;MICRO EMPRESA;01/02/5611;
SR DOS PÃES;;Outros;(17) 3227-2809;sr.dospaes;60;*;*;*;*;4,3;;1074;0;45.414.210/0001-64;R LUIZ VAZ DE CAMOES, 3267;VILA REDENTORA;HB;15015-750;MICRO EMPRESA;01/02/5611;
SHINKO;;Comida Étnica (Japão);(17) 9771-3434 / (17) 3301-1714;shinkoriopreto;10100;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/shinko-rio-preto-vila-redentora;Menu Dino;https://shinkojapafood.menudino.com/?rwg_token=AFP2EnNzcAux6T-FlXpnRJ9zCHOU-PUHz0t7coJ_tRI_YkFixF7gVsRgx82j4wqtpAHA2guD7yNbcINeICKbxMkTFBUZUPrxfbIzGTChPLqzKK64blneRrI%3D;4,9;4,7;558;26;40.099.926/0001-09;RUA ANTONIO DE GODOY, 4080;CENTRO;Central;15015-100;MICRO EMPRESA;01/02/5611;
SO SUCO RESTAURANTE;;Comida Brasileira;(17) 3234-2797;sosucorestaurante;3469;*;*;*;*;4,5;;878;0;28.552.309/0001-03;RUA VOLUNTARIOS DE SAO PAULO, 3918;CENTRO;Central;15015-200;EMPRESA DE PEQUENO PORTE;01/02/5611;
MISTER FRANGO'S;;Comida Brasileira;(17) 3222-2530;misterfrangosriopreto;1758;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/mr-frangos-redentora;*;*;4,6;4;429;3;45.487.985/0001-60;AVENIDA ALBERTO ANDALO - DR, 3754;VILA REDENTORA;HB;15015-000;MICRO EMPRESA;01/02/5611;
PONTO DA PICANHA;;Comida Brasileira;(17) 3227-4833;Ponto da Picanha;8700;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/ponto-da-picanha-nova-redentora;Neemo;https://loja.neemo.com.br/pontodapicanhanr/checkout;4,6;4,8;3709;133;00.773.941/0001-68;AVENIDA JOSE MUNIA, 4550;NOVA REDENTORA;HB;15090-500;DEMAIS;01/02/5611;
BOTEQUIM DO CHOPP;;Comida Brasileira;(17) 98205-6525;botequimchopp;8146;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/botequim-do-chopp-vila-redentora;*;*;5;;27;0;46.459.513/0001-66;RUA RAUL SILVA - DR, 322;VILA REDENTORA;HB;15015-020;MICRO EMPRESA;01/02/5611;
YUUMEI SUSHI LOUNGE;;Comida Étnica (Japão);(17) 98142-4370;yuumeisushilounge;24200;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/yuumei-sushi-lounge-centro;*;*;4,7;4,4;4348;321;32.611.351/0001-25;RUA ANTONIO DE GODOY, 3945;CENTRO;Central;15015-100;MICRO EMPRESA;01/02/5611;
POCCOLA BOTTEGA NAPOLETANA;;Pizzarias/Massas;(17)99168-6414;piccolabotteganapoletana;6853;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/piccola-bottega-napoletanaredentora-vila-redentora;*;*;4,8;4;115;4;36.345.947/0001-81;RUA PERNAMBUCO, 3455;VILA REDENTORA;HB;15015-770;MICRO EMPRESA;01/02/5611;
EL TORO REDENTORA;;Comida Brasileira;(17) 3234-3282;eltoro_steak;4648;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/el-toro-vila-redentora;*;*;4,7;3,9;516;2;20.890.503/0001-97;RUA PERNAMBUCO, 3229;VILA REDENTORA;HB;15015-770;MICRO EMPRESA;01/02/5611;
RESTAURANTE EPANHOL DON LEON;;Comida Étnica (Espanha);(17) 99247-2744;donleonriopreto;10600;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/don-leon-vila-redentora/45d28045-4380-460a-a087-975de31a7e9c?utm_medium=ReserveGoogle;*;*;4,7;5;618;2;18.429.372/0001-01;RUA GENEROSA BASTOS, 3135;VILA REDENTORA;HB;15015-790;MICRO EMPRESA;01/02/5611;
KIBERAMA;;Comida Étnica (Arábia);(17) 3232-4165;Kiberama;3580;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/kiberama-centro;*;*;4,6;4,6;1100;57;59.977.702/0001-72;R BERNARDINO DE CAMPOS, 3135 3145;CENTRO;Central;15015-300;MICRO EMPRESA;01/02/5611;
LOY CULINARIA JAPONESA;;Comida Étnica (Japão);(17) 99186-2283;*;;*;*;*;*;4,5;;10;0;46.294.354/0001-97;AV DOUTOR ALBERTO ANDALO, 2929 SALA B;CENTRO;Central;15015-000;MICRO EMPRESA;01/02/5611;
RESTAURANTE DELICIA CASEIRA;;Comida Brasileira;(17) 3212-8041;restaurante_delicia_caseira;82;*;*;*;*;4,7;;61;0;37.189.906/0001-06;RUA QUINZE DE NOVEMBRO, 3171 SALA 03;CENTRO;Central;15015-110;MICRO EMPRESA;01/02/5611;
HARMONY PRIME;;Comida Étnica (Japão);(17)3222-3445;harmonyprime;8594;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/harmony-prime-vila-fioresi;*;*;4,4;4,5;921;3;04.569.481/0001-01;AVENIDA ALBERTO ANDALO, 3083 ;CENTRO;Central;15015-000;MICRO EMPRESA;01/02/5611;
O BURGUÊS;;Lanchonetes/Hamburguerias;(17) 3234-1476;hamburgueriaoburgues;141025;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/o-burgues---burger-sao-jose-do-rio-preto-centro;*;*;4;4,8;131;467;29.816.017/0001-01;AVENIDA DOUTOR ALBERTO ANDALO, 3433 ;CENTRO;Central;15015-000;MICRO EMPRESA;01/02/5611;
FAROL RESTAURANTE;;Comida Brasileira;(17) 3231-2564 / (17) 3231-0501;farolrestaurante.sjrp;558;*;*;*;*;4,6;;60;0;07.224.824/0001-94;RUA SALDANHA MARINHO, 3124 ;CENTRO;Central;15010-100;MICRO EMPRESA;01/02/5611;
ODA JAPANESE;;Comida Étnica (Japão);(17)3033-8461;odajapanesefood;8875;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/oda-japanese-food-redentora;*;*;4,7;4,8;832;18;19.991.424/0001-93;AVENIDA DOUTOR ALBERTO ANDALO, 4030 LOJA 01 E 02;CENTRO;Central;15015-000;MICRO EMPRESA;0000-0/00;
SERGIO RESTAURANTE;;Comida Brasileira;(17) 3231-6800;*;;*;*;*;*;4,6;;61;0;30.905.015/0001-60;RUA VOLUNTARIOS DE SAO PAULO, 3360 ;CENTRO;Central;15015-200;MICRO EMPRESA;01/02/5611;
RESTRÔ RESTAURANTE;;Comida Brasileira; (17) 3212-9900;*;;*;*;*;*;5;;82;0;28.606.745/0001-18;RUA QUINZE DE NOVEMBRO, 3510 ;CENTRO;Central;15015-110;MICRO EMPRESA;01/02/5611;
LI KAYON;;Comida Étnica (Japão);(17) 3212-7407;Restaurante e lanchonete Li kayon;158;*;*;*;*;4,3;;352;0;45.182.094/0001-03;R VOLUNTARIOS DE SAO PAULO, 2709 ;CENTRO;Central;15015-200;MICRO EMPRESA;01/02/5611;
FLOR DE SAL;;Comida Étnica (França);(17) 3121-6500;flordesalbistros;35201;*;*;*;*;4,6;;1206;0;04.655.329/0001-41;RUA QUINZE DE NOVEMBRO, 4398 ;CENTRO;Central;15015-110;MICRO EMPRESA;01/02/5611;
RESTAURANTE MISTER GRILL;;Comida Brasileira;(17) 99120-2007;*;;*;*;*;*;;;0;0;48.052.560/0001-16;AV DOUTOR ALBERTO ANDALO, 3144 SLJ .;CENTRO;Central;15015-000;MICRO EMPRESA;03/02/5611;
RESTAURANTE YING CHOI;;Comida Étnica (Japão);(17) 3233-7475;yingchoirp;2734;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/ying-choi-express-parque-industrial/2503bb93-13ab-4c69-811b-b552544d6cf8?utm_medium=ReserveGoogle;Plataforma Própria/Anota Aí/Delivery Direto;https://yingchoi.com.br/reservas/  / https://pedido.anota.ai/  /  https://deliverydireto.com.br/restaurante-ying-choi/restaurante-ying-choi?dd=menu;4,8;4,7;710;9;49.701.949/0001-08;R SILVA JARDIM, 3168 ;CENTRO;Central;15010-060;MICRO EMPRESA;01/02/5611;
HABIB'S;;Comida Étnica (Arábia);(17) 3016-2264;habibsoficial;609763;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/habibs---sao-jose-do-rio-preto-centro;*;*;3,9;4,6;3995;929;02.294.978/0001-39;AVENIDA ALBERTO ANDALO, 3554 ;CENTRO;Central;15015-000;MICRO EMPRESA;01/02/5611;
TOKYO SUSHI BAR;;Comida Étnica (Japão); (17) 3234-1729;tokyosushibariopreto;17029;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/tokyo-sushi-bar-centro;Plataforma Própria;https://www.tokyosushibar.com.br/cardapio/;4,5;4,3;830;23;18.496.833/0001-50;RUA RUBIAO JUNIOR, 2930 ;CENTRO;Central;15010-090;MICRO EMPRESA;01/02/5611;
COLISEU RESTAURANTE;;Comida Brasileira;(17) 3233-4125;coliseurestauranterp;386;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/coliseu-restaurante-centro;*;*;4,5;;496;0;57.910.887/0001-72;R DELEGADO PINTO DE TOLEDO, 2937 ;CENTRO;Central;15010-080;MICRO EMPRESA;01/02/5611;
SALSA E COR GASTRONOMIA;;Comida Brasileira;(17) 3218-8026;salsaecor;8097;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/salsa-e-cor-gastronomia-centro;*;*;4,7;;184;0;47.261.964/0001-57;R CORONEL SPINOLA DE CASTRO, 3346 ;CENTRO;Central;15015-500;MICRO EMPRESA;01/02/5611;
RESTAURANTE MANDARIM;;Comida Étnica (China);(17) 3233-4099;Restaurante Mandarim;1700;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/restaurante-mandarim-centro;*;*;4,6;4,8;340;46;74.274.416/0001-34;R DELEGADO PINTO TOLEDO, 3274 ;CENTRO;Central;15042-102;MICRO EMPRESA;01/02/5611;
RESTAURANTE TERRACOS GRILL;;Comida Brasileira;(17) 3212-7049;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/restaurante-terracos-grill-centro;*;*;4,4;;257;0;19.197.861/0001-30;RUA MARECHAL DEODORO, 3071 ;CENTRO;Central;15010-070;MICRO EMPRESA;01/02/5611;
SABOR DO CAMPO;;Comida Brasileira;(17) 3232-9169;*;;*;*;*;*;3,5;;6;0;08.241.690/0001-82;RUA BERNARDINO DE CAMPOS, 2940 SUP. LUC 19/20;CENTRO;Central;15015-300;MICRO EMPRESA;01/02/5611;
ARMAZEM DO CHURRASCO;;Comida Brasileira;(17) 3301-2324;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/armazem-do-churrasco-parque-industrial;*;*;4;;75;0;33.759.042/0001-60;RUA TIRADENTES, 2835 ;CENTRO;Central;15010-030;MICRO EMPRESA;01/02/5611;
BANCA EDWALDO;;Outros;(17) 3224-2310;*;;*;*;*;*;;;0;0;48.309.488/0001-60;R ANTONIO DE GODOY, 3048 BANCA 09 E 10 BOX 19 E 20;CENTRO;Central;15015-100;MICRO EMPRESA;01/02/5611;
POINT DO ACARAJE;;Outros;(11) 1342-0719;Point do Acarajé e Tapioca;422;*;*;*;*;;;0;0;44.594.609/0001-01;R DELEGADO PINTO DE TOLEDO, 2657 ;CENTRO;Central;15010-080;MICRO EMPRESA;01/02/5611;
REI DO GRILL;;Comida Brasileira;(17) 3235-2974;reidogrill;346;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/rei-do-grill-centro;*;*;4,4;;134;0;29.210.501/0001-84;RUA SIQUEIRA CAMPOS, 2940 ;CENTRO;Central;15010-040;MICRO EMPRESA;01/02/5611;
HAZZ CAFE COZINHA;;Outros;(17) 99771-0070;*;;*;*;*;*;;;0;0;02.492.997/0001-70;RUA JAIR MARTINS MIL HOMENS, 500 SALA 1;VILA SÃO JOSÉ;HB;15090-080;MICRO EMPRESA;01/02/5611;
NINO COMIDA AFETIVA;;Comida Brasileira;(17) 3229-3009;Ninocozinhaafetiva;6040;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/restaurante-nino-cozinha-afetiva-chacara-municipal/9cfdd20d-0012-49c4-a113-c0fd07a54d4a?utm_medium=ReserveGoogle;*;*;4,7;5;460;14;20.736.235/0001-53;R ROBERTO SIMONSEN, 337 ;CHÁCARA MUNICIPAL;HB;15090-120;MICRO EMPRESA;01/02/5611;
ESPETOS LONGHINI;;Comida Brasileira;(17) 99668-9110;espetos_longhini;370;*;*;*;*;4,6;;84;0;42.351.708/0001-37;R LAFAYETTE JOSE SPINOLA, 2251 ;CIDADE JARDIM;HB;15081-130;MICRO EMPRESA;01/02/5611;
FRATELLI PIZZARIA;;Pizzarias/Massas;(17) 3218-2138;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/fratelli-pizzaria-residencial-cidade-jardim;*;*;4,4;4,8;52;11;13.243.776/0001-84;RUA JOSE MUSSI, 270 ;CIDADE JARDIM;HB;15081-040;MICRO EMPRESA;01/02/5611;
PEG PRATICO PIZZAS;;Pizzarias/Massas; (17) 3216-7915;pegpratico.pizzaria;657;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/pegpratico-residencial-cidade-jardim;*;*;4,3;4,5;120;17;12.931.236/0001-20;AVENIDA POTIRENDABA, 3800 ;CIDADE JARDIM;HB;15081-000;MICRO EMPRESA;01/02/5611;
RESTAURANTE DO MANÉ;;Comida Brasileira;(17) 3234-7004;*;;*;*;*;*;4,6;;136;0;34.329.127/0001-70;AV JOAO BERNARDINO SEIXAS RIBEIRO (PIEDADE/AEROPORTO), 1200 ;JARDIM CANAA;Central;15030-100;MICRO EMPRESA;04/01/5620;
BAR DO SCHELLOS;;Comida Brasileira;(17) 3353-3562;*;;*;*;*;*;;;0;0;33.512.847/0001-04;RUA OSVALDO ARANHA, 2730 ;VILA ESPLANADA;Central;15025-620;MICRO EMPRESA;01/02/5611;
RESTAURANTE PORCÃO;;Comida Brasileira;(17) 3223-6066;Restaurante Porcão Rio Preto;95;*;*;*;*;4,3;;81;0;06.013.674/0001-07;RUA GINO CECCONI, 151 ;DISTRITO INDUSTRIAL DOUTOR CARLOS ARNALDO E SILVA;Talhado;15052-725;MICRO EMPRESA;01/02/5611;
CHURRASCARIA E CERVEJARIA 52;;Comida Brasileira;(17) 9645-7161;Churrascaria 52;404;*;*;*;*;;;0;0;05.878.398/0001-87;AVENIDA DOUTOR ANTONIO HOMSI FILHO, 3835 MARGINAL BR - 153 KM 52;DISTRITO INDUSTRIAL DOUTOR CARLOS ARNALDO E SILVA;Talhado;15052-703;MICRO EMPRESA;01/02/5611;
RESTAURANTE CASARAO;;Comida Brasileira;(17) 3012-4201;*;;*;*;*;*;4,5;;162;0;22.171.096/0001-93;R DA IMPRENSA, 728 ;PARQUE CELESTE;Central;15070-420;MICRO EMPRESA;01/02/5611;
FIDELIS BAR DA SOMBRA;;Comida Brasileira;(17) 98828-8494;fidelisbardasombra;4076;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/fidelis-bar-da-sombra-parque-celeste/32d7b1a9-3aee-4018-9205-1bea228c4b1b?utm_medium=ReserveGoogle;*;*;4,8;5;203;14;38.294.841/0001-21;R DA IMPRENSA, 1039 ;PARQUE CELESTE;Central;15070-420;MICRO EMPRESA;01/02/5611;
FIORELLA ROTISSERIA;;Comida Brasileira;(17) 3016-7901;Rotisseria Fiorella;268;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/fiorella-rotisserie-e-restaurante-parque-celeste;*;*;4,6;4,4;159;37;11.351.271/0001-08;RUA FERNANDO GOMES, 10 ;PARQUE CELESTE;Central;15070-465;MICRO EMPRESA;01/02/5611;
RESTAURANTE ROÇA & CIA;;Comida Brasileira; (17) 3225-2439;*;;*;*;*;*;4,4;;1424;0;29.746.384/0001-78;AV MURCHID HOMSI, 1041 ;PARQUE RESIDENCIAL COMENDADOR MANÇOR DAUD;*;15070-650;MICRO EMPRESA;01/02/5611;
CHURRASCARIA BOI BOM;;Comida Brasileira;(17) 3225-1027;boibomchurrascaria;15080;*;*;Plataforma Própria;http://churrascariaboibom.com.br/Cardapio.asp;4,5;;5026;0;01.107.896/0001-75;AV MURCHID HOMSI, 435 ;PARQUE CELESTE;Central;15070-650;MICRO EMPRESA;01/02/5611;
PARMEGIGI;;Comida Brasileira;(17) 3363-5339;parmegigi;8505;*;*;Menu Dino;https://parmegigi.menudino.com/?rwg_token=AFP2EnN2ewtoEVT72WdO5onhL5lAU--gxrzi3BDP4Xh82hh61VtDmRdk5hOH_uOv-FsbYgeM6O4m1kJ1ItcS8lozVbCLv1eLLLDspwXQQzrCHJS5nkqGSrg%3D;3,6;;27;0;47.971.249/0001-08;R RUBIAO JUNIOR, 3124 ;CENTRO;Central;15010-090;MICRO EMPRESA;01/02/5611;
CANTINHO DOCE;;Comida Brasileira; (17) 3234-7064;cantinhodocerestaurante;246;*;*;*;*;4,9;;10;0;42.591.689/0001-16;R ANTONIO DE GODOY, 3073 ;CENTRO;Central;15015-100;MICRO EMPRESA;01/02/5611;
DAI CUCINA BAR E RESTAURANTE;;Comida Brasileira;(17) 3211-8240;daicucina_ebar;89;*;*;Plataforma Própria;https://www.restaurantejangada.com.br/#cardapio;4,5;;109;0;32.303.287/0001-15;AVENIDA DOUTOR ALBERTO ANDALO, 3209 PAVMTO1;CENTRO;Central;15015-000;MICRO EMPRESA;01/02/5611;
LOUCOS POR TI STEAKBURGER;;Lanchonetes/Hamburguerias;(17) 3364-2751;loucosportisteakburger;12645;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/loucos-por-ti-steakburguer-centro;Anota Aí / Whats App; https://pedido.anota.ai/loja/loucos-por-ti-steakburguer?from=menu-share-adm&utm_source=portal-share-btn&referer=https%3A%2F%2Fwww.google.com%2F  /  https://api.whatsapp.com/send/?phone=17991752991&text&type=phone_number&app_absent=0;4,6;5;433;81;24.200.849/0001-77;AVENIDA DOUTOR ALBERTO ANDALO, 4060 LOJA 04 COND PANTHEON;CENTRO;Central;15015-000;MICRO EMPRESA;01/02/5611;
BATATA DIPZ;;Lanchonetes/Hamburguerias;(17) 3201-2952;batatadipz;18549;*;*;*;*;4,4;;78;0;13.349.494/0001-66;AVENIDA JOSE PINHEIRO BORGES, S/N LOJA 249A-SHOPPING CENTER;Jardim Marajó;Represa;08420-092;MICRO EMPRESA;01/02/5611;
BATATA DIPZ;;Comida Brasileira;(11) 7503-7903;batatadipz;18549;*;*;*;*;4,3;;24;0;18.948.171/0001-02;AVENIDA JOSE MUNIA, 4775 LOJA LUCF-273-2 PAVMTOPISOPLAZASHOPPING;JARDIM REDENTOR ;HB;15085-350;MICRO EMPRESA;01/02/5611;
BERGAMASHI E FURQUIM ;;Outros;(17) 3233-1200;*;;*;*;*;*;;;0;0;09.218.392/0002-15;RUA BERNARDINO DE CAMPOS, 2940 LUC 2 E 3 PISO SUPERIOR;CENTRO;Central;15015-300;MICRO EMPRESA;01/02/5611;
BOM DEMAIS RESTAURANTE;;Comida Brasileira;(17) 3232-0514;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/bom-demais-restaurante-centro;*;*;4,3;4,8;612;16;09.345.548/0001-48;RUA MARECHAL DEODORO, 3041 ;CENTRO;Central;15010-070;MICRO EMPRESA;01/02/5611;
CHURRASCARIA GAUCHA;;Comida Brasileira;(17) 3235-5030;*;;*;*;*;*;;;0;0;45.103.918/0001-02;R PRUDENTE DE MORAES, 3108 ;CENTRO;Central;15010-100;MICRO EMPRESA;0000-0/00;
DELÍCIAS POR KILO;;Comida Brasileira;(17)3353-4555;deliciasporkilo_restaurante;3585;*;*;Goomer;https://delicias-por-kilo.goomer.app/;4,8;;609;0;00.625.536/0001-00;RUA INDEPENDENCIA, 2754 ;CENTRO;Central;15010-110;MICRO EMPRESA;01/02/5611;
D'MAMIS RESTAURANTE & CIA.;;Comida Brasileira; (17) 99160-5224;dmamisrestaurante;477;*;*;*;*;4;;122;0;27.385.403/0001-52;AV DOUTOR ALBERTO ANDALO, 3144 ;CENTRO;Central;15015-000;MICRO EMPRESA;01/02/5611;
LA CANCHA FC FUTEBOL & CERVEJA;;Comida Brasileira; (17) 99629-1875;lacanchafc;20103;*;*;*;*;4,8;;1175;0;36.004.351/0001-18;R INDEPENDENCIA, 3387 ;CENTRO;Central;15010-110;MICRO EMPRESA;01/02/5611;
FZM HAMBURGUERIA;;Lanchonetes/Hamburguerias;(17) 3122-5000;*;;*;*;*;*;;;0;0;30.297.976/0001-39;RUA BERNARDINO DE CAMPOS, 2940 LUC 14 15;CENTRO;Central;15015-300;MICRO EMPRESA;01/02/5611;
CHINA IN BOX;;Comida Étnica (China);(17) 3233-9755;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/china-in-box---sao-jose-do-rio-preto-centro;Plataforma Propria;https://www.chinainbox.com.br/tabs/home;4,3;4,5;224;195;00.823.775/0001-67;RUA RUBIAO JUNIOR, 2657 ;CENTRO;Central;15010-090;EMPRESA DE PEQUENO PORTE;01/02/5611;
FRONT SOUNDS E DRINKS;;Comida Brasileira;(17) 9231-7612;*;;*;*;*;*;;;0;0;34.748.851/0001-39;RUA TIRADENTES, 3133 ;CENTRO;Central;15010-030;MICRO EMPRESA;01/02/5611;
JUANKIA LI;;Lanchonetes/Hamburguerias;(17) 3222-1646 / (017) 2313-622;*;;*;*;*;*;;;0;0;03.238.783/0001-34;RUA VOLUNTARIOS DE SAO PAULO, 2604 ;CENTRO;Central;15015-200;MICRO EMPRESA;01/02/5611;
